,no_protease,c_0.000M,c_0.421M,c_0.842M,c_1.263M,c_1.684M,c_2.105M,c_2.526M,c_2.947M,c_3.368M,c_3.789M,c_4.211M,c_4.632M,c_5.053M,c_5.474M,c_5.895M,c_6.316M,c_6.737M,c_7.158M,c_7.579M,c_8.000M
prot_010579,65,13,5,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
prot_010580,65,43,82,89,113,66,115,116,126,170,155,263,194,165,171,87,32,22,4,0,0
prot_010581,72,68,107,88,74,64,60,36,15,11,0,0,2,0,0,0,0,0,0,18,4
prot_010582,89,73,133,112,117,106,172,157,148,172,131,107,48,29,15,17,7,3,2,0,6
prot_010583,31,23,38,33,45,38,47,34,20,7,4,3,1,0,3,0,3,0,0,2,1
prot_010584,118,79,140,155,174,126,182,140,93,48,42,13,6,14,0,6,0,3,0,0,40
prot_010585,195,158,265,242,316,226,406,394,359,320,260,121,32,14,12,2,0,2,0,0,0
prot_010586,77,64,125,84,123,88,142,137,111,85,46,25,10,3,7,0,7,0,3,0,4
prot_010587,68,54,92,94,107,79,146,122,158,183,194,243,228,329,386,366,284,90,60,33,12
prot_010588,127,48,23,4,0,0,0,0,1,0,3,0,1,0,0,0,0,0,0,0,0
prot_010589,80,58,81,89,130,91,143,170,142,126,119,79,31,16,10,7,0,3,4,0,0
prot_010590,44,5,0,0,1,0,0,0,0,0,0,0,2,1,0,0,3,0,0,3,0
prot_010591,48,38,57,59,64,57,96,97,98,126,143,183,165,157,255,216,188,77,36,20,0
prot_010592,59,42,72,70,110,63,111,134,104,147,195,222,155,200,168,165,73,74,25,15,14
prot_010593,91,80,134,109,139,78,146,138,136,76,55,36,22,10,5,7,0,0,0,10,0
prot_010594,105,92,133,122,185,90,219,209,199,234,314,323,227,210,95,53,23,18,0,1,0
prot_010595,76,68,109,104,132,74,108,136,92,96,70,57,17,15,1,2,2,0,0,0,0
prot_010596,102,49,65,55,35,15,11,4,2,0,2,0,0,0,0,4,0,1,17,10,15
prot_010597,62,57,78,95,89,60,116,88,33,23,11,6,1,0,0,4,0,0,9,0,1
prot_010598,90,8,3,0,0,0,0,1,0,1,5,0,0,4,0,2,0,0,2,15,0
prot_010599,75,51,103,77,125,77,136,143,170,189,216,304,267,246,159,116,26,20,0,2,0
prot_010600,175,130,199,225,273,206,359,343,361,429,445,521,409,268,202,123,39,17,23,1,12
prot_010601,48,36,67,62,68,51,75,92,95,118,148,199,150,198,227,235,155,104,52,29,10
prot_010602,101,61,128,112,151,97,186,212,183,220,307,397,275,230,128,82,23,8,1,18,0
prot_010603,185,156,248,219,287,181,372,388,392,473,501,534,383,190,122,37,3,3,0,0,0
prot_010604,146,121,195,172,199,147,227,204,159,117,60,62,43,36,3,10,22,0,5,0,0
prot_010605,111,36,13,6,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,18,0
prot_010606,98,94,126,109,105,64,106,62,23,10,7,6,0,0,0,0,0,5,0,25,0
prot_010607,75,61,91,107,101,54,143,149,156,202,217,283,303,328,458,661,831,678,831,1024,569
prot_010608,69,65,76,100,121,68,124,144,116,154,203,220,141,58,18,12,4,8,3,2,0
prot_010609,53,42,74,63,85,55,98,115,104,115,158,189,131,111,89,43,27,10,3,1,9
prot_010610,35,21,21,14,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
prot_010611,92,53,42,23,14,3,0,0,2,2,0,0,4,0,0,4,0,0,7,9,0
prot_010612,40,42,53,48,68,31,83,74,66,105,118,145,101,115,52,27,13,3,0,0,1
prot_010613,101,37,29,10,6,0,4,3,0,0,0,2,3,0,0,0,0,1,0,0,0
prot_010614,77,45,98,104,104,76,142,127,144,145,178,96,71,48,24,13,2,1,6,0,0
prot_010615,49,37,70,67,59,27,19,11,1,1,0,0,0,0,0,0,0,3,14,18,0
prot_010616,129,105,145,133,136,51,88,48,33,12,5,11,0,10,0,11,0,15,7,4,0
prot_010617,49,42,69,71,87,53,98,93,93,86,48,30,16,7,3,5,0,0,0,4,0
prot_010618,64,47,69,77,104,77,106,124,146,170,181,262,225,278,409,518,703,730,940,1574,1349
prot_010619,69,58,98,88,103,66,150,131,148,162,240,254,243,262,239,210,101,54,10,39,14
prot_010620,96,77,153,107,156,82,161,145,133,169,180,117,65,44,21,21,18,7,0,7,6
prot_010621,50,32,79,55,73,42,92,69,40,40,38,18,12,1,4,0,0,3,0,6,0
prot_010622,150,113,227,209,231,166,278,278,302,364,411,601,411,303,149,69,23,0,7,22,0
prot_010623,48,43,60,65,72,45,88,75,31,18,9,3,0,0,0,0,0,10,0,7,0
prot_010624,375,343,517,463,611,336,487,216,76,31,26,7,30,5,0,0,1,23,31,0,0
prot_010625,56,48,81,68,74,48,100,124,126,135,143,221,207,224,285,252,158,106,95,80,13
prot_010626,251,178,232,185,115,40,40,10,6,1,6,0,17,7,0,0,10,0,0,20,20
prot_010627,116,11,4,0,0,2,0,4,0,0,3,2,0,4,1,0,0,2,0,0,0
prot_010628,59,40,85,71,93,59,132,100,113,146,179,204,184,167,100,72,11,13,6,7,0
prot_010629,77,66,98,90,116,67,166,157,117,172,197,185,115,82,61,31,20,11,10,0,1
prot_010630,78,21,36,18,8,3,1,1,1,0,0,0,0,2,0,0,4,1,0,10,0
prot_010631,89,65,106,92,81,40,42,26,6,4,0,1,5,8,0,9,0,0,0,3,0
prot_010632,69,63,71,105,103,66,130,125,129,172,199,263,201,154,107,38,10,9,0,23,0
prot_010633,100,61,114,145,144,113,229,208,224,243,231,260,129,110,80,36,16,6,11,21,9
prot_010634,70,41,98,93,111,60,108,151,133,141,129,133,50,24,13,5,1,2,0,3,5
prot_010635,47,8,1,1,1,0,0,1,0,0,0,0,0,1,3,0,0,3,0,0,0
prot_010636,93,73,123,131,149,93,184,231,192,239,276,340,332,363,311,233,87,23,14,10,4
prot_010637,98,78,115,103,137,104,190,196,228,242,294,403,395,487,585,862,904,744,981,1154,657
prot_010638,71,57,100,94,101,69,127,84,42,16,1,0,0,3,0,3,0,0,0,0,0
prot_010639,79,60,95,72,85,47,31,25,15,3,8,4,3,0,0,6,0,0,0,0,0
prot_010640,89,63,113,115,143,90,172,181,157,143,88,51,16,8,3,0,5,0,0,20,0
prot_010641,134,92,170,184,225,117,242,292,274,327,385,559,488,600,815,1185,1371,1421,1803,2267,1558
prot_010642,59,38,73,63,100,61,130,125,117,173,162,249,184,198,162,138,79,14,18,4,9
prot_010643,123,101,148,175,189,132,241,239,248,309,325,464,353,281,159,41,16,22,0,13,0
prot_010644,118,109,175,187,174,122,233,212,199,215,105,36,23,0,7,0,0,0,0,15,0
prot_010645,119,85,155,114,88,21,27,9,1,4,0,0,0,1,0,3,1,0,0,0,0
prot_010646,98,78,130,120,133,102,150,136,158,134,100,83,61,24,17,9,8,9,4,0,12
prot_010647,52,39,84,72,76,45,91,105,94,137,153,215,195,225,332,361,350,185,124,108,46
prot_010648,110,87,108,50,22,3,2,0,0,0,0,0,0,0,0,0,4,5,21,11,0
prot_010649,84,51,71,34,8,3,0,1,0,0,0,0,0,2,3,0,0,5,0,7,3
prot_010650,92,89,127,117,158,115,194,210,174,199,185,155,51,32,5,12,21,0,0,6,9
prot_010651,66,51,99,87,101,73,90,58,27,8,3,6,0,1,5,3,0,0,0,1,0
prot_010652,73,58,98,76,123,51,153,151,124,205,241,271,291,274,362,339,236,140,69,52,36
prot_010653,52,21,12,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,3,1
prot_010654,44,37,56,41,45,12,14,4,3,3,2,0,0,0,0,0,0,0,0,4,3
prot_010655,70,53,66,59,34,13,8,4,0,0,0,0,2,0,3,8,3,2,0,0,0
prot_010656,48,34,73,54,87,52,94,88,90,105,151,186,175,185,249,234,204,107,106,60,25
prot_010657,109,96,164,153,195,120,229,220,222,249,219,216,108,50,16,0,0,0,11,0,0
prot_010658,56,32,65,81,92,38,72,41,22,8,7,0,0,0,1,0,0,0,0,0,0
prot_010659,67,70,86,73,102,67,131,103,83,69,27,20,4,9,0,0,0,0,5,0,0
prot_010660,69,17,14,2,0,0,0,0,1,0,0,0,1,5,0,0,0,0,3,14,6
prot_010661,173,129,252,228,251,176,356,349,323,385,365,368,204,146,70,52,0,0,17,0,13
prot_010662,73,58,101,92,100,66,150,142,150,180,202,303,280,338,474,553,595,438,302,214,47
prot_010663,41,33,58,62,62,38,60,99,89,102,133,100,49,26,17,1,4,0,5,0,0
prot_010664,42,38,46,20,4,3,0,0,0,0,0,0,0,1,0,6,0,6,5,7,0
prot_010665,42,36,55,49,77,45,79,65,73,79,58,30,10,5,2,0,1,0,0,0,0
prot_010666,59,47,62,59,45,12,15,7,0,1,0,0,0,0,0,0,0,0,0,0,0
prot_010667,190,9,8,2,0,0,0,0,0,0,2,8,0,3,0,0,1,2,1,2,27
prot_010668,133,69,55,48,24,7,0,6,0,0,3,0,1,0,0,0,2,10,0,8,0
prot_010669,67,9,8,2,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1,0
prot_010670,171,89,112,55,22,8,1,0,0,0,4,0,12,0,0,8,11,0,7,5,0
prot_010671,55,40,82,59,88,56,110,119,114,137,130,216,141,105,70,34,27,0,6,0,12
prot_010672,78,52,75,50,25,7,1,2,0,0,0,0,0,0,5,0,1,0,16,0,4
prot_010673,69,59,90,74,108,83,144,140,128,188,206,257,194,282,194,154,92,41,13,30,7
prot_010674,104,92,140,131,165,106,201,227,212,256,322,373,371,446,564,496,329,136,52,10,39
prot_010675,69,56,97,81,105,69,117,114,91,76,51,29,9,7,1,4,0,0,0,10,3
prot_010676,156,128,211,216,236,142,269,211,192,150,87,65,30,16,0,4,0,0,0,16,0
prot_010677,97,73,139,125,128,110,189,209,193,202,151,129,51,8,2,9,0,2,0,9,13
prot_010678,110,19,11,2,4,2,0,0,2,0,0,2,0,0,0,0,0,3,1,0,15
prot_010679,32,29,41,41,63,22,36,31,17,12,7,3,2,2,0,0,0,3,0,0,2
prot_010680,36,25,62,41,63,30,47,19,4,1,2,3,1,0,2,1,4,0,1,7,0
prot_010681,44,36,45,48,89,45,76,102,86,106,137,185,164,220,286,292,333,239,188,161,60
prot_010682,58,46,96,83,103,63,119,120,127,133,165,243,185,191,209,185,81,30,17,39,0
prot_010683,40,40,51,46,84,43,91,75,90,93,115,153,157,166,208,274,218,138,70,82,27
prot_010684,141,134,187,179,243,134,282,289,277,303,221,163,74,37,27,6,7,3,0,54,5
prot_010685,77,75,100,85,147,87,138,125,120,94,69,47,26,11,1,1,8,0,0,0,0
prot_010686,96,68,116,108,134,85,187,193,185,231,274,316,215,159,112,53,22,11,4,0,21
prot_010687,49,41,64,59,62,43,95,98,112,118,155,198,187,177,148,93,25,11,10,23,0
prot_010688,104,88,150,108,135,117,168,168,91,59,33,27,13,4,0,5,0,0,0,0,0
prot_010689,34,24,58,38,55,38,67,65,61,80,94,106,105,43,21,9,4,0,2,0,2
prot_010690,74,74,89,88,136,50,164,139,139,203,209,302,265,352,453,625,599,556,539,454,223
prot_010691,81,57,114,122,116,82,144,146,155,169,128,128,71,52,32,26,17,3,9,1,0
prot_010692,94,6,1,1,0,0,0,0,0,0,1,0,1,0,0,10,10,0,0,0,0
prot_010693,71,36,71,41,28,13,10,8,1,2,2,1,0,0,0,0,0,0,8,0,0
prot_010694,38,26,40,31,61,45,79,84,67,87,52,42,17,3,2,1,0,0,2,0,8
prot_010695,124,24,24,7,6,0,0,0,0,0,0,3,1,0,13,0,0,0,21,0,10
prot_010696,60,43,74,77,84,49,100,120,95,81,61,47,26,17,17,5,2,8,2,3,0
prot_010697,69,50,101,92,94,80,144,149,123,164,170,161,106,92,66,43,19,7,10,0,12
prot_010698,203,167,267,238,305,199,394,423,410,438,600,772,793,911,1334,1778,2161,2144,2898,3623,3281
prot_010699,82,75,125,108,139,87,180,166,165,211,245,281,310,265,272,170,78,31,12,5,8
prot_010700,54,39,66,76,78,49,83,109,94,141,158,200,184,244,320,345,374,308,252,224,117
prot_010701,57,47,66,72,64,43,41,17,3,6,1,0,0,0,3,3,2,1,0,0,3
prot_010702,105,38,22,15,10,3,1,1,0,0,0,6,0,0,0,2,0,0,21,0,2
prot_010703,59,36,88,72,89,69,110,113,116,157,155,178,122,106,74,51,16,6,8,3,0
prot_010704,119,63,55,20,9,1,1,0,0,0,6,0,0,1,0,0,6,6,0,0,0
prot_010705,117,89,162,159,178,102,191,176,85,73,35,13,0,3,1,0,0,0,0,2,0
prot_010706,74,63,97,93,122,67,148,138,174,184,238,279,282,305,303,151,78,22,0,0,0
prot_010707,114,97,137,139,162,95,270,250,178,190,156,121,50,35,9,12,1,11,0,0,0
prot_010708,70,58,105,90,103,68,143,142,131,163,140,115,74,48,14,6,15,6,0,0,10
prot_010709,55,51,74,61,87,50,116,125,124,142,158,194,162,115,88,51,30,16,17,0,0
prot_010710,37,33,47,56,56,32,80,66,75,79,131,143,114,143,145,94,63,14,11,0,0
prot_010711,108,110,145,139,160,67,165,151,72,58,29,25,12,3,5,3,13,0,23,0,0
prot_010712,95,95,143,123,134,101,146,155,105,76,55,26,20,3,10,12,0,5,23,0,8
prot_010713,113,48,51,23,16,3,0,0,1,0,0,0,0,4,0,0,0,2,0,0,0
prot_010714,135,120,162,177,176,132,276,281,225,256,162,117,46,13,2,1,0,0,0,6,0
prot_010715,160,113,179,124,93,47,21,10,6,5,0,0,0,2,0,0,0,11,7,0,0
prot_010716,64,48,79,77,85,73,103,78,41,30,8,8,0,7,0,0,1,2,6,0,4
prot_010717,78,68,103,102,132,83,161,165,161,186,247,310,226,228,179,115,84,18,22,9,5
prot_010718,56,5,5,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,8
prot_010719,103,86,157,122,143,96,220,174,157,140,62,53,22,3,0,4,0,0,14,9,29
prot_010720,60,24,25,17,14,1,3,1,0,0,0,0,0,0,1,0,0,2,0,23,0
prot_010721,126,89,136,85,47,19,9,3,5,4,2,0,2,0,9,0,2,5,0,4,0
prot_010722,55,5,0,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
prot_010723,93,46,47,12,11,0,1,0,0,0,1,0,1,0,1,0,0,0,0,23,0
prot_010724,126,96,187,152,193,143,268,219,231,344,375,526,503,600,716,969,1019,777,533,280,140
prot_010725,42,39,55,60,71,34,69,85,72,111,132,162,143,145,81,35,8,1,4,0,0
prot_010726,38,49,39,38,58,49,79,69,67,112,91,84,44,35,15,7,3,0,0,0,1
prot_010727,88,72,119,99,120,93,164,182,158,176,126,86,40,12,8,0,4,0,0,6,0
prot_010728,83,60,116,116,122,84,157,153,168,207,256,318,290,361,406,409,314,146,131,61,26
prot_010729,73,62,106,81,91,91,146,147,144,182,190,283,239,245,193,134,57,16,11,22,8
prot_010730,58,42,73,56,94,64,104,88,95,47,32,13,7,8,0,0,3,7,0,0,4
prot_010731,49,4,3,2,1,0,1,0,0,0,0,0,1,0,0,0,6,2,0,0,14
prot_010732,106,85,146,140,167,105,215,192,209,271,278,313,226,206,116,80,56,20,10,12,0
prot_010733,63,40,84,79,90,63,135,110,121,162,202,269,229,311,404,589,562,397,248,196,53
prot_010734,79,55,98,47,30,14,11,8,5,2,1,0,0,0,0,0,4,0,0,0,3
prot_010735,55,43,59,81,89,46,79,64,38,24,12,3,0,1,1,0,2,0,6,0,0
prot_010736,52,50,75,61,67,41,37,18,10,5,3,1,1,0,0,0,1,0,0,0,13
prot_010737,114,91,147,122,167,79,104,37,15,11,4,1,0,0,0,1,3,0,4,0,1
prot_010738,139,118,155,165,217,143,262,276,260,234,178,108,33,7,9,0,7,2,14,16,0
prot_010739,45,35,61,58,70,28,67,32,27,11,10,2,2,0,0,0,0,0,0,0,0
prot_010740,64,46,102,74,105,55,145,132,137,177,168,168,94,37,9,2,0,0,0,0,0
prot_010741,108,95,125,152,166,124,201,213,248,304,309,443,314,356,370,234,135,40,23,9,0
prot_010742,42,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,5
prot_010743,147,132,198,205,214,158,258,282,316,383,416,547,524,488,441,395,159,88,28,0,3
prot_010744,88,76,106,84,120,79,173,171,167,221,237,372,287,419,547,714,903,757,836,804,439
prot_010745,56,36,60,63,68,58,87,115,87,100,70,50,33,16,5,12,0,0,3,1,0
prot_010746,67,50,77,70,112,72,136,111,65,72,54,30,15,12,5,2,0,0,6,0,3
prot_010747,145,92,186,179,217,155,321,294,274,371,402,441,291,189,123,40,20,0,0,0,0
prot_010748,25,23,35,32,36,21,39,38,10,24,13,11,4,3,0,0,0,0,0,6,1
prot_010749,127,49,53,22,17,5,2,3,1,0,2,6,2,5,0,5,3,0,4,0,28
prot_010750,134,118,189,116,111,32,28,6,3,1,0,1,0,2,0,0,3,2,0,23,0
prot_010751,64,41,68,43,20,6,3,3,0,0,0,5,0,0,0,0,0,0,0,1,6
prot_010752,85,60,127,130,139,86,164,204,161,154,159,144,55,26,3,3,0,0,0,22,0
prot_010753,87,39,38,19,15,2,9,0,2,3,0,0,3,0,0,0,0,0,12,0,7
prot_010754,104,86,134,129,155,94,195,218,222,231,337,391,399,376,403,365,256,196,93,72,47
prot_010755,57,47,68,81,92,53,69,29,25,4,4,2,0,0,0,0,0,2,0,0,0
prot_010756,78,75,105,102,116,76,144,129,174,179,236,161,85,32,17,5,6,0,4,0,4
prot_010757,76,56,101,97,114,78,129,116,80,53,30,23,12,2,7,2,2,1,0,0,0
prot_010758,105,73,137,129,152,110,204,186,181,272,333,407,404,485,693,968,1136,1160,1480,1853,1389
prot_010759,237,218,292,315,382,271,462,475,466,607,709,972,880,1109,1567,1998,2041,1632,1323,1046,359
prot_010760,58,43,20,7,3,1,0,0,1,0,0,0,0,0,1,0,5,0,0,8,5
prot_010761,81,60,116,115,121,81,124,145,175,220,218,235,159,121,89,34,18,2,0,0,7
prot_010762,64,44,30,18,3,0,5,0,0,2,0,0,1,0,0,4,0,0,5,0,7
prot_010763,60,51,60,68,96,79,110,124,129,168,140,190,108,74,40,11,7,2,6,0,0
prot_010764,56,42,68,78,91,60,110,116,114,128,82,69,31,16,0,4,6,6,0,4,18
prot_010765,41,28,63,45,37,14,20,17,7,2,4,4,2,0,0,0,3,0,0,0,0
prot_010766,106,90,111,73,38,9,13,11,6,3,0,0,0,0,4,0,5,6,0,4,0
prot_010767,90,83,134,106,137,65,117,78,46,36,19,14,3,6,0,0,8,0,0,17,0
prot_010768,74,69,101,102,116,69,125,149,145,198,228,284,302,371,400,419,400,253,154,91,47
prot_010769,65,59,91,103,112,73,127,125,129,166,191,216,206,214,141,70,36,16,5,7,0
prot_010770,72,5,5,0,1,0,0,4,0,0,0,2,1,1,0,0,0,3,5,0,0
prot_010771,51,43,70,50,61,24,21,16,10,9,4,3,0,0,3,5,0,0,2,0,3
prot_010772,67,61,78,81,95,44,45,17,3,1,0,0,0,0,0,2,5,0,0,1,7
prot_010773,81,56,102,118,124,82,140,150,127,102,85,45,14,12,9,0,4,8,0,0,0
prot_010774,63,22,23,2,1,0,0,1,0,0,1,0,5,0,0,0,0,0,1,0,10
prot_010775,55,54,85,65,36,21,9,1,2,2,1,5,1,0,0,3,0,0,14,0,1
prot_010776,66,55,92,93,112,85,125,138,111,153,190,259,262,304,404,509,559,554,545,540,193
prot_010777,110,91,181,140,152,95,115,38,16,9,2,0,0,0,2,3,6,2,32,0,37
prot_010778,77,63,87,107,102,69,160,142,164,186,248,260,224,212,151,114,33,7,24,3,0
prot_010779,39,28,59,50,60,35,37,18,4,0,0,2,0,0,0,0,0,4,0,0,0
prot_010780,100,86,125,136,155,105,151,140,110,84,58,40,13,12,8,7,0,0,0,19,0
prot_010781,92,67,145,110,135,114,167,144,94,49,14,11,4,0,6,0,1,0,4,0,8
prot_010782,77,64,77,55,52,17,14,4,1,1,0,0,6,0,0,0,0,0,12,0,2
prot_010783,146,109,100,28,10,3,0,0,1,0,1,1,0,2,1,10,1,11,0,11,0
prot_010784,71,61,93,79,103,79,121,154,147,177,226,292,267,353,468,609,772,793,918,1336,1128
prot_010785,105,89,144,124,179,85,234,210,211,291,300,396,274,175,106,63,14,15,0,0,0
prot_010786,75,66,104,88,93,96,134,139,151,204,194,276,242,238,169,119,59,36,26,10,4
prot_010787,117,35,23,4,3,0,0,0,0,0,0,0,2,2,4,6,0,6,3,0,21
prot_010788,71,5,3,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,4,13,2
prot_010789,63,29,30,24,5,3,0,0,1,0,0,0,0,0,2,0,1,0,11,3,0
prot_010790,103,92,146,116,150,97,182,196,217,241,322,407,404,467,707,939,1095,1029,1615,2510,2245
prot_010791,114,111,136,147,185,116,225,223,219,140,52,19,4,2,0,0,1,0,0,0,0
prot_010792,129,99,192,174,208,145,200,215,128,93,46,29,14,5,0,3,0,1,0,0,0
prot_010793,90,80,136,110,150,99,171,196,204,215,269,376,296,437,640,810,954,1053,1358,2281,2019
prot_010794,38,16,5,2,2,0,0,0,0,2,0,0,0,0,1,1,1,0,0,3,1
prot_010795,77,75,94,104,116,82,109,121,83,46,19,6,1,0,5,1,0,1,4,0,0
prot_010796,82,48,38,20,11,1,2,2,0,0,1,2,0,1,0,4,3,0,0,0,6
prot_010797,119,101,158,132,89,49,41,25,14,6,2,6,2,0,7,0,1,7,23,32,0
prot_010798,122,79,161,147,185,119,262,232,232,289,386,482,486,550,721,954,992,684,396,295,92
prot_010799,109,95,147,131,172,128,232,188,235,288,288,336,221,146,71,42,0,6,0,0,9
prot_010800,32,10,3,1,1,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,4
prot_010801,53,30,36,25,6,1,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0
prot_010802,59,38,95,64,98,50,111,96,65,32,11,7,0,0,5,0,5,0,0,2,0
prot_010803,78,3,7,1,1,0,0,0,2,0,0,0,0,1,4,10,8,0,0,15,2
prot_010804,90,52,112,109,127,89,180,200,174,196,205,264,155,111,70,55,44,24,10,8,3
prot_010805,127,105,194,143,199,139,242,275,223,223,242,155,71,27,10,16,0,0,16,12,3
prot_010806,84,65,80,57,49,7,5,3,1,0,0,0,0,0,1,0,5,0,0,0,14
prot_010807,50,27,47,36,32,7,9,4,1,0,1,1,1,0,0,0,0,0,3,0,0
prot_010808,65,38,52,24,14,7,1,0,0,0,0,0,1,2,2,2,0,0,1,0,3
prot_010809,73,48,116,103,134,68,142,160,172,175,236,305,280,314,298,164,96,24,17,18,12
prot_010810,81,64,117,108,117,50,46,25,8,5,2,0,0,0,0,2,0,0,7,0,0
prot_010811,106,85,158,142,185,104,208,195,185,217,157,123,56,37,18,13,0,4,10,15,8
prot_010812,114,93,140,80,64,20,20,6,0,1,0,0,0,6,6,5,0,0,0,18,0
prot_010813,68,59,91,83,116,61,120,114,73,21,13,5,8,0,0,0,5,6,0,0,11
prot_010814,55,11,10,3,3,0,1,0,0,1,0,0,0,1,0,0,0,0,4,0,0
prot_010815,166,19,11,2,0,2,0,0,0,0,0,0,0,0,4,14,0,0,10,0,16
prot_010816,44,46,50,56,85,58,101,96,50,59,26,6,2,0,0,0,0,0,0,0,7
prot_010817,118,112,140,164,199,132,217,227,226,284,354,491,433,487,573,639,441,289,204,162,50
prot_010818,72,57,71,37,11,3,1,1,0,0,0,0,0,0,1,0,6,0,0,0,3
prot_010819,81,69,87,102,75,20,15,3,3,0,0,0,0,0,1,0,3,5,2,5,5
prot_010820,76,66,105,93,118,72,154,172,137,204,207,316,307,363,510,711,754,845,1170,1729,1487
prot_010821,82,16,16,5,1,0,0,1,2,0,0,1,2,2,0,7,0,3,5,0,0
prot_010822,77,52,36,21,8,6,4,1,0,1,0,4,1,0,4,0,0,5,0,0,7
prot_010823,62,46,80,82,96,52,83,46,21,11,2,2,2,3,0,3,0,0,1,2,0
prot_010824,66,50,71,39,45,18,11,4,1,0,0,2,0,0,0,0,0,8,0,0,2
prot_010825,144,132,201,202,216,175,297,246,200,131,75,18,6,0,2,1,9,0,0,23,10
prot_010826,63,51,69,81,81,68,113,91,127,140,170,201,108,73,47,24,17,0,0,0,0
prot_010827,60,49,79,86,96,54,137,130,77,87,52,30,23,7,6,1,0,0,0,11,0
prot_010828,103,69,142,110,210,113,178,199,169,247,244,227,125,61,44,14,2,0,10,14,0
prot_010829,68,56,95,100,98,49,112,63,29,15,7,3,0,2,2,0,8,1,0,0,1
prot_010830,82,78,86,93,108,90,141,145,185,225,268,317,284,354,451,555,428,342,169,229,110
prot_010831,96,6,3,1,0,0,0,1,0,0,4,2,0,4,0,0,3,8,0,4,8
prot_010832,49,32,56,36,43,13,9,1,0,2,0,0,0,1,0,0,2,0,0,8,0
prot_010833,46,29,58,66,89,49,79,78,91,121,100,68,43,23,6,4,5,6,3,0,2
prot_010834,62,48,67,47,43,8,10,4,2,0,0,0,0,2,0,4,0,0,0,0,0
prot_010835,163,23,15,9,1,0,0,2,0,0,0,3,0,0,0,2,1,0,0,0,31
prot_010836,50,39,68,59,63,21,27,14,4,2,1,0,0,0,0,0,0,7,0,0,0
prot_010837,86,63,131,106,137,95,179,160,156,241,275,342,271,334,364,348,252,117,59,56,53
prot_010838,61,8,9,7,5,0,0,0,0,0,0,0,0,0,9,8,1,0,0,1,8
prot_010839,139,93,167,170,208,114,283,282,293,404,385,492,296,295,179,123,73,17,5,26,26
prot_010840,68,51,99,80,107,73,124,134,142,174,197,242,218,219,187,128,68,18,20,10,0
prot_010841,65,39,90,81,86,75,137,125,117,136,99,72,24,24,8,11,1,0,0,3,4
prot_010842,76,71,46,27,27,4,0,1,2,0,0,8,0,0,0,3,1,0,11,0,3
prot_010843,200,154,290,275,317,185,385,380,435,503,574,648,568,548,483,268,108,17,8,2,34
prot_010844,82,52,63,32,19,7,1,1,0,1,0,1,1,0,0,0,0,5,2,0,0
prot_010845,73,52,108,103,108,75,133,138,151,169,225,300,293,356,452,673,679,687,692,766,434
prot_010846,19,13,25,25,35,20,26,46,35,54,52,80,70,63,52,34,19,12,8,5,2
prot_010847,149,19,6,2,0,0,0,2,2,3,1,0,0,3,2,17,14,19,0,0,0
prot_010848,53,48,64,72,91,49,101,103,108,140,157,191,192,220,258,219,178,94,52,40,23
prot_010849,68,61,104,95,95,75,144,134,116,130,108,84,51,29,17,23,3,2,0,6,0
prot_010850,65,59,95,83,86,41,48,19,6,0,1,0,0,0,0,5,3,0,0,0,0
prot_010851,133,122,151,169,183,100,209,145,96,66,39,22,6,3,5,16,0,0,12,5,36
prot_010852,80,63,117,95,114,87,156,132,120,148,92,81,27,13,14,1,8,2,7,0,0
prot_010853,45,33,64,71,77,41,95,89,76,121,107,98,55,24,15,9,0,0,1,0,3
prot_010854,76,52,117,95,128,91,149,171,149,200,250,280,296,327,441,480,339,202,160,48,18
prot_010855,66,51,74,72,49,29,37,27,10,9,3,4,2,2,2,0,0,0,5,0,0
prot_010856,88,82,119,125,152,86,190,159,152,160,109,67,35,11,0,0,6,4,1,3,0
prot_010857,55,46,77,62,89,67,96,97,94,84,30,19,5,1,1,5,0,3,0,0,12
prot_010858,34,30,51,40,50,41,80,72,78,62,54,32,12,2,1,0,0,1,0,0,3
prot_010859,64,55,72,80,92,59,128,118,107,120,143,134,104,55,51,66,20,15,6,16,21
prot_010860,86,58,112,98,65,12,8,2,1,0,0,3,2,0,0,0,2,0,3,24,0
prot_010861,50,47,75,68,90,54,103,115,84,133,169,206,175,238,312,342,332,272,249,210,92
prot_010862,22,12,30,30,22,8,7,4,3,2,1,0,1,0,0,0,1,0,0,0,1
prot_010863,75,45,52,9,9,3,2,0,0,0,2,0,0,0,3,6,0,5,2,4,10
prot_010864,79,66,124,97,137,80,141,139,82,54,28,20,2,6,1,0,9,2,7,4,0
prot_010865,61,55,66,44,25,7,8,5,2,0,0,0,4,3,0,2,1,2,0,0,0
